Perceived Effectiveness,Comfort Level,Concern About Privacy
Agree,Extremely Uncomfortable,Not Concerned at All
Strongly Disagree,Somewhat Uncomfortable,Not Concerned at All
Disagree,Somewhat Uncomfortable,Somewhat Concerned
Agree,Somewhat Comfortable,Moderately Concerned
Disagree,Neither Comfortable nor Uncomfortable,Somewhat Concerned
Disagree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Agree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Strongly Disagree,Extremely Uncomfortable,Slightly Concerned
Neutral,Extremely Uncomfortable,Somewhat Concerned
Neutral,Somewhat Uncomfortable,Moderately Concerned
Neutral,Somewhat Comfortable,Slightly Concerned
Agree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Agree,Extremely Uncomfortable,Slightly Concerned
Strongly Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Strongly Disagree,Extremely Uncomfortable,Not Concerned at All
Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Strongly Agree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Disagree,Somewhat Uncomfortable,Moderately Concerned
Disagree,Somewhat Comfortable,Not Concerned at All
Neutral,Somewhat Uncomfortable,Slightly Concerned
Agree,Somewhat Comfortable,Not Concerned at All
Strongly Agree,Somewhat Uncomfortable,Not Concerned at All
Agree,Somewhat Comfortable,Slightly Concerned
Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Disagree,Extremely Comfortable,Not Concerned at All
Strongly Disagree,Somewhat Comfortable,Not Concerned at All
Strongly Disagree,Extremely Uncomfortable,Moderately Concerned
Disagree,Extremely Comfortable,Not Concerned at All
Strongly Disagree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Disagree,Somewhat Uncomfortable,Moderately Concerned
Neutral,Extremely Comfortable,Slightly Concerned
Agree,Extremely Uncomfortable,Slightly Concerned
Strongly Agree,Somewhat Comfortable,Somewhat Concerned
Strongly Disagree,Extremely Comfortable,Slightly Concerned
Disagree,Somewhat Comfortable,Moderately Concerned
Strongly Disagree,Extremely Uncomfortable,Not Concerned at All
Agree,Somewhat Uncomfortable,Moderately Concerned
Strongly Disagree,Extremely Comfortable,Somewhat Concerned
Strongly Agree,Somewhat Uncomfortable,Moderately Concerned
Agree,Somewhat Comfortable,Not Concerned at All
